;KONEÈNÉ POØADÍ SPAC 2001;;;;
;4. roèník;;;;
;;;;;
;Kategorie A;;18 - 29 let;;
;;;;;
poøadí;pøíjmení;jméno;klub;celkem;
1.;BABÁN;Marcel;SK ŠAFRATA BOHUMÍN;451;30
2.;HEINRICH;Lukáš;CYKLOTEAM HaF OPAVA;345;30
3.;BEDNÁØ;Jan;JUMP SPORT TEAM;340;30
4.;RAŠKA;Zbynìk;CK VALAŠSKÉ KRÁLOVSTVÍ;330;30
5.;CELTA;Tomáš;MAJOR TEAM;326;30
6.;WONTOR;Hynek;SK JIØÍ TEAM;307;30
7.;MILERSKI;Robert;TJ BANÍK HAVÍØOV;300;30
8.;LUKOSZ;Petr;;297;30
9.;FILIPEC ;Martin;CK VALAŠSKÉ KRÁLOVSTVÍ;297;30
10.;KREJZA;Aleš;MIDAS TØINEC;293;30
11.;BARTOÒ;Jaroslav;CK VALAŠSKÉ KRÁLOVSTVÍ;250;30
12.;HEJNEŠ;Leopold;DOVA SOKOL ŽABEÒ;240;30
13.;SUŠILA;Martin;;239;30
14.;ŠKARKA;Roman;CK VALAŠSKÉ KRÁLOVSTVÍ;216;30
15.;GOLA;Vít;CYKLOSERVIS SUCHDOL n/O;197;30
16.;JAVOREK;Petr;TJ SLEZAN;185;30
17.;ŠTÁK;Daniel;DOVA SOKOL ŽABEÒ;175;30
18.;HARABIŠ;Radim;CK VALAŠSKÉ KRÁLOVSTVÍ;173;30
19.;ADÁMEK;Jan;DOVA SOKOL ŽABEÒ;166;30
20.;KLÍMEK;Ondøej;CK VALAŠSKÉ KRÁLOVSTVÍ;161;30
21.;STANÌK;Pavel;;152;30
22.;SIGMUND;Martin;CK VALAŠSKÉ KRÁLOVSTVÍ;142;30
23.;JANDA;Martin;;122;30
24.;REK;Filip;CK VALAŠSKÉ KRÁLOVSTVÍ;115;30
25.;KOBLOVSKÝ;Martin;CYKLOSERVIS SUCHDOL n/O;113;30
26.;PLUCNAR;Pavel;;109;30
27.;BÁRTEK;Jan;DOVA SOKOL ŽABEÒ;104;30
28.;KONEÈNÝ;Lukáš;CK VLASTIBOR KONEÈNÝ;45;30
29.;KADLEC;Jiøí;DOVA SOKOL ŽABEÒ;31;30
30.;KANTOR;Tomáš;MIDAS TØINEC;27;30
;;;;;
;;;;;
;Kategorie B;;30 - 39 let;;
;;;;;
poøadí;pøíjmení;jméno;klub;celkem;
1.;KOKEŠ;Pavel;MAJOR TEAM;410;26
2.;HARTMANN;Roman;CK HLUÈÍN;311;26
3.;ZEMAN;Václav;PORUBA;273;26
4.;ÈÍŽEK;Libor;YOGI RACING OSTRAVA;272;26
5.;KRCHÒÁK;Pavel;DOVA SOKOL ŽABEÒ;267;26
6.;LACH;Alan;MAJOR TEAM;262;26
7.;LESÒÁK;Miroslav;CYKLOVETERÁN KLUB OPAVA;257;26
8.;MUSIL;Pavel;TJ BANÍK HAVÍØOV;256;26
9.;FAJKUS;Martin;;227;26
10.;HRACHOVINA;Rostislav;TJ BANÍK HAVÍØOV;199;26
11.;ŠVANTNER;Bohuslav;RACING OLEŠNÁ;177;26
12.;MARŠÁLEK;Tomáš;RACING OLEŠNÁ;176;26
13.;KURKA;Vít;;161;26
14.;ŠUŠKA;Peter;TJ BANÍK HAVÍØOV;144;26
15.;Ing SUCHÝ;Imrich;CYKLOSERVIS SUCHDOL n/O;131;26
16.;BLAŽEK;Tomáš;CK ORLÍK ORLOVÁ;112;26
17.;SKALÍK;Marcel;MAJOR TEAM;87;26
18.;PREMUS;jan;;72;26
19.;SLEŽKA;Milan;MAJOR TEAM;69;26
20.;DUDÍK;René;;60;26
21.;POPIOLEK;Pavel;TH SYSTÉM;47;26
22.;DOVIÈIÈ;Robert;MIDAS TØINEC;45;26
23.;SCHMIED;Pavel;;39;26
24.;ZAVØEL;Ladislav;CK VALAŠSKÉ KRÁLOVSTVÍ;28;26
25.;HÁJOVSKÝ;Josef;JUMP SPORT TEAM;22;26
26.;ANDÌL;Pavel;MAJOR TEAM;17;26
;;;;;
;;;;;
;Kategorie C;;40 - 49 let;;
;;;;;
poøadí;pøíjmení;jméno;klub;celkem;
1.;BUÈEK;Michal;RACING OLEŠNÁ;227;17
2.;VYSOCKÝ;Vladimír;DOVA SOKOL ŽABEÒ;215;17
3.;KUZNÍK;Rostislav;CVK OPAVA;215;17
4.;BÌHOUNEK;Vladimír;SK PELOTON HAVÍØOV;192;17
5.;BARAN;Petr;;186;17
6.;TEŠNAR;Tomáš;CK SPURT FOLVARÈNÝ;129;17
7.;ŠITAVANC;Jiøí;CYKLOSERVIS SUCHDOL n/O;123;17
8.;DANÌÈEK;Pavel;ŠNEK TEAM KRNOV;109;17
9.;ZMUDA;Jan;ŠNEK TEAM KRNOV;107;17
10.;OTÝPKA;Jan;CVK OPAVA;97;17
11.;Ing ADAMÈÍK;Miroslav;CYKLOSERVIS SUCHDOL n/O;93;17
12.;ZAVÍRAL;Bohumil;ŠNEK TEAM KRNOV;71;17
13.;ÈERVENKA;Milan;MAX CURSOR OSTRAVA;68;17
14.;STANKE;Ladislav;;51;17
15.;HLAVATÍK;Ladislav;RACING OLEŠNÁ;30;17
16.;Ing. UHLÍØ;Milan;;27;17
17.;BAIER;Jan;;26;17
;;;;;
;;;;;
;Kategorie D;;50 - 59 let;;
;;;;;
poøadí;pøíjmení;jméno;klub;celkem;
1.;MASNÝ;Milan;RACING OLEŠNÁ;160;6
2.;KRAMOLIŠ;Radomír;CYKLOSERVIS SUCHDOL n/O;116;6
3.;RADA;Eduard;CYKLOSERVIS SUCHDOL n/O;64;6
4.;GEOFF;Wiliam;SK JIØÍ TEAM;28;6
5.;GLOGAR;Jan;YOGI RACING OSTRAVA;15;6
6.;VESELÝ;Petr;MIDAS TØINEC;8;6
;;;;;
;;;;;
;Kategorie E;;nad 60 let;;
;;;;;
poøadí;pøíjmení;jméno;klub;celkem;
1.;BARTOŠ;Miroslav;CK SPURT FOLVARÈNÝ;104;3
2.;SZELAG;Ivan;CK SPURT FOLVARÈNÝ;72;3
3.;GERYCH;Miloslav;SK ŠAFRATA BOHUMÍN;47;3
;;;;;
;;;;;
;Kategorie Ž;;;;
;;;;;
poøadí;pøíjmení;jméno;klub;celkem;
1.;KEMPNÁ;Daniela;SK ŠAFRATA BOHUMÍN;113;4
2.;KOLBOVÁ;Šárka;;59;4
3.;HOSTAŠOVÁ;Marie;MIDAS TØINEC;35;4
4.;KUBIŠOVÁ;Marcela;SK ŠAFRATA BOHUMÍN;14;4
