;KONEÈNÉ POØADÍ SPAC 2005;;;;;;;;;;;;
;8. roèník;;;;;;;;;;;;
;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;
;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;5 nej;Èas.Bohum.;V.Polom;Osobl.výb.;Èas.dvojic;TdJ;VC VK;M 60;celkem;
1.;KOTAS;Wieslaw;TJ TŽ TØINEC;75;15;0;0;0;15;30;15;75;13
2.;KRPEC;Lukáš;CK VALAŠSKÉ KRÁLOVSTVÍ;75;12;0;12;15;7;24;12;82;13
3.;JUREÈKA;Roman;CK VALAŠSKÉ KRÁLOVSTVÍ;62;8;12;10;10;6;20;10;76;13
4.;ŠVIDERNOCH;Jakub;CK SILESIA ORLOVÁ;48;10;0;8;0;8;14;8;48;13
5.;MARIUSZ;Ilmak;SK ŠAFRATA BOHUMÍN;40;0;15;15;0;10;0;0;40;13
6.;HLAVATÍK;Jan;RACING OLEŠNÁ;32;5;10;0;12;5;0;0;32;13
7.;RAJÈÁNI;Martin;TJ TŽ TØINEC;18;6;0;0;0;12;0;0;18;13
8.;LANÈA;Radek;CK VALAŠSKÉ KRÁLOVSTVÍ;16;0;0;0;0;0;16;0;16;13
9.;HUDEÈEK;Petr;YOGI RACING OSTRAVA;9;0;0;0;0;0;0;9;9;13
10.;TOMŠù;Václav;TJ TŽ TØINEC;7;7;0;0;0;0;0;0;7;13
11.;MALOŠÍK;Jan;CK ORLÍK ORLOVÁ;4;4;0;0;0;0;0;0;4;13
12.;HONÌK;Petr;YOGI RACING OSTRAVA;0;0;0;0;0;0;0;0;0;13
13.;MATÝSEK;Jiøí;YOGI RACING OSTRAVA;0;0;0;0;0;0;0;0;0;13
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Kategorie B;;;;;;;;;;;;
;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;5 nej;Èas.Bohum.;V.Polom;Osobl.výb.;Èas.dvojic;TdJ;VC VK;M 60;celkem;
1.;RAŠKA;Zbynìk;CK VALAŠSKÉ KRÁLOVSTVÍ;80;12;15;15;10;15;20;15;102;8
2.;CELTA;Tomáš;KCK CYKLOSPORT ZLÍN;58,5;15;0;0;13,5;0;30;0;58,5;8
3.;GIRACZKA;Martin;TJ NOVÝ BOHUMÍN;58;8;12;12;8;10;14;10;74;8
4.;KOKEŠ;Pavel;KCK CYKLOSPORT ZLÍN;49,5;0;0;0;13,5;12;24;0;49,5;8
