;KONEÈNÉ POØADÍ SPAC 2006;;;;;;;;;
;9. roèník;;;;;;;;;
;;;;;;;;;;
;Kategorie A;;;;;;;;;
;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;celkem;èas.Bohumín;5hodinovka;VC VK;èas.Klapka;dvojboj;
1.;Mosiol;Norbert;SK ŠAFRATA BOHUMÍN;24;4;4;0;8;8;13
2.;UVÍRA;Václav;CK ORLÍK ORLOVÁ;12;8;0;0;4;0;13
3.;OGIERMAN;Michal;SK ŠAFRATA BOHUMÍN;12;6;0;0;0;6;13
4.;MALOŠÍK;Jan;CK ORLÍK ORLOVÁ;11;0;1;0;6;4;13
5.;KOLESÁR;Radek;TJ KOLÍK BOHUMÍN;8;0;8;0;0;0;13
6.;SWACZYNA;Petr;CK FESO PETØVALD;6;0;6;0;0;0;13
7.;UBLANSKÝ;Adam;CK ORLÍK ORLOVÁ;6;0;2;0;3;1;13
8.;RYLICH;Robin;CK ORLÍK ORLOVÁ;4;0;3;0;0;1;13
9.;BORSZICKÝ;Denis;CK ORLÍK ORLOVÁ;4;0;1;0;0;3;13
10.;Foltyn;Jiøí;SK ŠAFRATA BOHUMÍN;4;2;1;0;0;1;13
11.;KOVAØÍK;David;SK JIØÍ TEAM OSTRAVA;3;3;0;0;0;0;13
12.;JURÁK;Jakub;TJ BANÍK HAVÍØOV;2;0;0;0;0;2;13
13.;NOVOTNÝ;Rostislav;CK ORLÍK ORLOVÁ;1;0;0;0;0;1;13
;;;;;;;;;;
;;;;;;;;;;
;Kategorie B;;;;;;;;;
;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;celkem;èas.Bohumín;5hodinovka;VC VK;èas.Klapka;dvojboj;
1.;GIRACZKA;Martin;TJ KOLÍK BOHUMÍN;32;8;8;0;8;8;10
2.;FAJKUS;Martin;SK ŠAFRATA BOHUMÍN;13;4;4;0;1;4;10
3.;RYLICH;Václav;CK ORLÍK ORLOVÁ;10;0;6;0;4;0;10
4.;KOPAÈKA;Petr;SK ŠAFRATA BOHUMÍN;6;6;0;0;0;0;10
5.;KUBALA;Janusz;SK ŠAFRATA BOHUMÍN;6;0;0;0;6;0;10
6.;HARTIG;David;SK ŠAFRATA BOHUMÍN;6;0;0;0;0;6;10
7.;SÝKORA;Miroslav;SK ŠAFRATA BOHUMÍN;3;0;0;0;3;0;10
8.;SOUKUP;Pavel;RSA TEAM;2;0;0;0;2;0;10
9.;KRAJC;Radan;KARVINÁ;1;0;0;0;1;0;10
10.;TUREÈEK;Martin;KARVINÁ;1;0;0;0;1;0;10
;;;;;;;;;;
;;;;;;;;;;
;Kategorie C;;;;;;;;;
;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;celkem;èas.Bohumín;5hodinovka;VC VK;èas.Klapka;dvojboj;
1.;ZOK;Bogdan;SK ŠAFRATA BOHUMÍN;32;8;8;0;8;8;7
2.;VÍTEÈEK;Petr;TJ KOLÍK BOHUMÍN;12;0;6;0;0;6;7
3.;BAIER;Jan;TJ KOLÍK BOHUMÍN;6;6;0;0;0;0;7
4.;LEPŠÍK;Miroslav;KARVINÁ;6;0;0;0;6;0;7
5.;VODIÈKA;Štìpán;CYKLOSPORT PØIKRYL, ST.VES N.O.;4;4;0;0;0;0;7
6.;HAVELKA;Pavel;KARVINÁ;4;0;0;0;4;0;7
7.;STADTHERR;Radim;SK ŠAFRATA BOHUMÍN;3;0;0;0;3;0;7
;;;;;;;;;;
;;;;;;;;;;
;Kategorie D;;;;;;;;;
;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;celkem;èas.Bohumín;5hodinovka;VC VK;èas.Klapka;dvojboj;
1.;KUBÍK;Josef;TJ KOLÍK BOHUMÍN;14;0;8;0;0;6;3
2.;TEŠNAR;Tomáš;YOGI RACING OSTRAVA;8;8;0;0;0;0;3
3.;SIKORA;Petr;SK ŠAFRATA BOHUMÍN;8;0;0;0;0;8;3
;;;;;;;;;;
;;;;;;;;;;
;Kategorie E;;;;;;;;;
;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;celkem;èas.Bohumín;5hodinovka;VC VK;èas.Klapka;dvojboj;
;;;;;;;;;;
;Nebyla Vyhodnocena - zúèastnili se jí 3 závodníci a každý z nich absolvoval jen jeden závod.;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Kategorie Ž;;;;;;;;;
;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;celkem;èas.Bohumín;5hodinovka;VC VK;èas.Klapka;dvojboj;
1.;PETØÍÈKOVÁ;Alena;CK ORLÍK ORLOVÁ;24;0;0;8;8;8;5
2.;UBLANSKÁ;Kamila;CK ORLÍK ORLOVÁ;18;0;8;0;4;6;5
3.;GNOJKOVÁ;Katrin;SK ŠAFRATA BOHUMÍN;8;0;4;0;0;4;5
4.;SZWAJNOCHOVÁ;Soòa;SK ŠAFRATA BOHUMÍN;6;0;6;0;0;0;5
5.;HALMOVÁ;Eva;CK ORLÍK ORLOVÁ;6;0;0;0;6;0;5
;;;;;;;;;;
;;;;;;;;;;
;Družstva;;;;;;;;;
;klub;;;celkem;;;;;;
1.;SK ŠAFRATA BOHUMÍN;;;68;Mosiol Norbert ;24b;;;;
;;;;;Ogierman Michal;12b;;;;
;;;;;Zok Bogdan;32b;;;;
